Service Description,Service Classification,cleaned_text,encoded_label
"YP, or Yellow Pages, is owned by AT&T's and provides listings, coupons and reviews about millions of businesses in the United States. The Yellow Pages API gives developers access to many of these features.Search business listings--search by keywords and location (a zip code, city, address or latitude/longitude).Retrieve details of a business--individual business data, including address, telephone numbers, as well as metadata like when the business started and its neighborhood. Also, if a business has an active deal, its coupons will also be listed.Business reviews--retrieve ratings and textual reviews of a business.Access coupons directly--find YP customers with deals.Static Maps--retrieve URLs for a map showing a specific point, or a business listing map showing a specific business. Also includes business details.",Mapping,yp yellow page is owned by provides listing coupon review about million of business united state yellow page api give developer access many of these feature search business listing search by keywords location zip code city address latitude longitude retrieve detail of business individual business data including address telephone number a well a metadata like when business started it neighborhood also if business ha active deal it coupon will also be listed business review retrieve rating textual review of business access coupon directly find yp customer with deal static map retrieve url for map showing specific point business listing map showing specific business also includes business detail,5
"Sportradar is a provider of sports and betting-related live data, odds solutions, and fraud detection services. The Sportradar Rugby API provides RESTful methods for integrating applications with the Sportradar Rugby statistics feeds database. Its primary feeds consist of the schedule (daily schedule), the standings (daily summary), and the rankings (league hierarchy) analytical parameters. These feeds are helpful for generating match boxscore and team profile feeds. The API returns responses in either JSON or XML format.",Sports,sportradar is provider of sport betting related live data odds solution fraud detection service sportradar rugby api provides restful method for integrating application with sportradar rugby statistic feed database it primary feed consist of schedule daily schedule standing daily summary ranking league hierarchy analytical parameter these feed are helpful for generating match boxscore team profile feed api return response either json xml format,13
"The legal topic search service allows applications to integrate results on specific areas of law relevant to U.K. cases such as case law in Irish courts, European Union Directives, U.K. statutes, etc. Results provide links to retrieve full-text documents both managed by the service and from other providers. Results can be filtered and sorted for effective targeting of queries. API methods support submission of a search query string with parameters to control number and type of results, sorting, etc. Returned data include identifiers for retrieving source documents, with or without query terms highlighted, many with options for source format or PDF. A separate JustCite API provides citations of legal cases and precedents.",Search,legal topic search service allows application integrate result specific area of law relevant case such a case law irish court european union directive statute etc result provide link retrieve full text document both managed by service from other provider result can be filtered sorted for effective targeting of query api method support submission of search query string with parameter control number type of result sorting etc returned data include identifier for retrieving source document with without query term highlighted many with option for source format pdf separate justcite api provides citation of legal case precedent,10
"[This API has been deactivated and this page is being maintained purely for historical and research purposes.] Generate Word Clouds from blocks of text. Multi color and different sizes illustrate the frequency, and the vibe of the bigger text. Try it with blog posts, article text, speeches, tweet histories, emails, or any other written word. The API uses an HTTP Post call and returns are in JSON.",Tools,this api ha been deactivated this page is being maintained purely for historical research purpose generate word cloud from block of text multi color different size illustrate frequency vibe of bigger text try it with blog post article text speech tweet history email any other written word api us http post call return are json,15
"The Notary Management API is used to digitally sign or obtain a signed version of content or data. This signed content can then be passed on as a parameter in another API request. The Notary Managient API is called by the developer's application server using the Server Access, No Subscriber Context OAuth model. It uses RESTful calls and responses are formatted in XML or JSON.",Security,notary management api is used digitally sign obtain signed version of content data this signed content can then be passed a parameter another api request notary managient api is called by developer application server using server access no subscriber context oauth model it us restful call response are formatted xml json,11
"SMSMyBus provides transit arrival times to bus riders in Madison, Wisconsin. The service is unofficial, provided by a developer who wanted the data for a text-driven transit application. This unofficial API provides access to schedules, routes, locations and notifications. Developers can use the API to create Madison transit applications. Functions include finding stops near a location, providing the position of vehicles in real-time, locating specific routes, determining the next times at a stop and communicating important service bulletins.",Transportation,smsmybus provides transit arrival time bus rider madison wisconsin service is unofficial provided by developer who wanted data for text driven transit application this unofficial api provides access schedule route location notification developer can use api create madison transit application function include finding stop near location providing position of vehicle real time locating specific route determining next time stop communicating important service bulletin,16
"Ritc is a rule engine API that allows you to use rules to add functionality to your cloud applications and services. The Ritc API offers a way to integrate and automate cloud services and SAAS applications into apps, processes and workflows. The API is organized around 6 resources: rules, triggers, actions, channels, channel functions, and users. The API uses RESTful principles and authenticates API calls using HTTP Basic Auth over HTTPS.",Tools,ritc is rule engine api that allows you use rule add functionality your cloud application service ritc api offer way integrate automate cloud service saas application into apps process workflow api is organized around resource rule trigger action channel channel function user api us restful principle authenticates api call using http basic auth over,15
"Web2PDF lets developers create a PDF file of a web page from any URL. The ConvertAPI Web2PDF API is a pay-per-credit API that allows website URLs to be converted into PDFs. Developers can manipulate many different settings: orientation, page size, margins, cover pages, and more can be set with the Web2PDF API. Pricing begins at $15 for 1,000 calls.",Tools,webpdf let developer create pdf file of web page from any url convertapi webpdf api is pay per credit api that allows website url be converted into pdfs developer can manipulate many different setting orientation page size margin cover page more can be set with webpdf api pricing begin for call,15
"Forex API-Get Real Time Rate Table from xignite returns rates for multiple currency pairs in a matrix structure. Over 29,000 historical and real-time currency pairs are covered. The API uptime is at least 99.9% and the data is updated in true real-time as new quotes are issued from market participants. Data is returned in XML, JSON, or CSV format.",Financial,forex api get real time rate table from xignite return rate for multiple currency pair matrix structure over historical real time currency pair are covered api uptime is least data is updated true real time a new quote are issued from market participant data is returned xml json csv format,3
The GoldStar Trust Crowdpay API integrates payments into applications. It is targeted to investors interested in crowdfunding offerings. Available in JSON architecture with token as authentication.,Payments,goldstar trust crowdpay api integrates payment into application it is targeted investor interested crowdfunding offering available json architecture with token a authentication,7
"Experian Data Quality offers an email verification solution that identifies whether an email address is valid and deliverable, so that you know whether an email address is accurate and actionable before mailing to it, leading to improved email marketing. The solution works by performing multiple checks on the syntax, domain, mail server and account. All validation occurs in real time, meaning no database lookups. This process can be done at the point of collection or in bulk on an ad hoc basis through a hosted Web service that supports REST. Sample code available is for PHP, C# and JSP/Java.",Email,experian data quality offer email verification solution that identifies whether email address is valid deliverable so that you know whether email address is accurate actionable before mailing it leading improved email marketing solution work by performing multiple check syntax domain mail server account all validation occurs real time meaning no database lookup this process can be done point of collection bulk ad hoc basis through hosted web service that support rest sample code available is for php jsp java,1
"MotorsportReg.com is a membership management and event registration service for motorsport driving and social events organized by clubs, racetracks and sanctioning bodies around the world. We make it easier and more fun for organizers to manage events by automating tasks, improving accuracy and saving time and help enthusiasts find great events to attend. Events include autocross, driving schools, HPDE, club races, test days and rallies organized by groups like the SCCA, BMW CCA, PCA, Audi Club, Miller Motorsports Park and Circuit of the Americas.",Sports,motorsportreg com is membership management event registration service for motorsport driving social event organized by club racetrack sanctioning body around world we make it easier more fun for organizer manage event by automating task improving accuracy saving time help enthusiast find great event attend event include autocross driving school hpde club race test day rally organized by group like scca bmw cca pca audi club miller motorsports park circuit of america,13
The service provides budget data for the government of Moldova extracted from the Open Data portal of machine-readable government operating data. Data come from the Moldovan Ministry of Finance in partnership with the World Bank. The dataset excludes personal information about people as well as trade secrets of companies and state secrets of the government. The portal's goal is improved transparency government actions for citizens and other stakeholders. API methods support listings of expenditure items and their categories along with units of government or local and regional authorities that incur the expenses. The API returns machine-readable data structured according to those divisions to report actual government expenditures.,Government,service provides budget data for government of moldova extracted from open data portal of machine readable government operating data data come from moldovan ministry of finance partnership with world bank dataset excludes personal information about people a well a trade secret of company state secret of government portal goal is improved transparency government action for citizen other stakeholder api method support listing of expenditure item their category along with unit of government local regional authority that incur expense api return machine readable data structured according those division report actual government expenditure,4
TribeHR uses WebHooks to provide real-time callbacks to scripts that are hosted on a user's web server. TribeHR offers a secure human resources website platform with the goal of simplifying and automating many common HR tasks. With WebHooks allows the creation ofscripts that respond to actions that take place within a secure and private human resources website.,Enterprise,tribehr us webhooks provide real time callback script that are hosted user web server tribehr offer secure human resource website platform with goal of simplifying automating many common hr task with webhooks allows creation ofscripts that respond action that take place within secure private human resource website,2
"Gifts.com is a gift recommendation site. With access to the Gifts.com API, developers can work with the site's premium content and come up with ways to help people become better gift givers. The Gifts.com API provides access to the gift shopping engine via a RESTful interface that returns gift recommendations in either JSON, JSONP or XML format. Developers can use the API to submit requests for gift recommendations, search for gift recommendations (in the form of products) using recipient, category, personality, occasion, and keyword criteria to classify the person who will receive the gift.",eCommerce,gift com is gift recommendation site with access gift com api developer can work with site premium content come up with way help people become better gift giver gift com api provides access gift shopping engine via restful interface that return gift recommendation either json jsonp xml format developer can use api submit request for gift recommendation search for gift recommendation form of product using recipient category personality occasion keyword criterion classify person who will receive gift,19
The ZeroFox API allows developers to access and integrate the functionality of ZeroFox with other applications. Public documentation is not available; API access comes with account service. ZeroFox provides security solutions for social media and other online accounts and platforms.,Security,zerofox api allows developer access integrate functionality of zerofox with other application public documentation is not available api access come with account service zerofox provides security solution for social medium other online account platform,11
"The MOLGENIS API allows users to programmatically retrieve and modify data model entities and entity collections. It supports all CRUD methods, as well as resource collections paging and filtering and resource field expansion. MOLGENIS offers a suite of web databases for genotypes, phenotypes, QTL, and analysis pipelines. It can also serve as a software generator for building web databases for biologists.",Science,molgenis api allows user programmatically retrieve modify data model entity entity collection it support all crud method a well a resource collection paging filtering resource field expansion molgenis offer suite of web database for genotype phenotype qtl analysis pipeline it can also serve a software generator for building web database for biologist,9
"WuBook is an online booking service allowing hotels to support online booking and sync Internet Distribution Services. Wired!, the WuBook API, provides a web services framework for developers to integrate WuBook into 3rd party applications.",Travel,wubook is online booking service allowing hotel support online booking sync internet distribution service wired wubook api provides web service framework for developer integrate wubook into rd party application,17
"The Gnip Audience API allows users to understand the demographics of Twitter users, either individually or as a set of users. Some example types of demographic characteristics include gender, location, interests, and the category and network of device of access. The Gnip Audience API also allows understanding of any topic, any conversation, any influencer, and any event happening on Twitter. Gnip is Twitter is enterprise API platform that enables businesses to unleash the power of social data.",Social,gnip audience api allows user understand demographic of twitter user either individually a set of user some example type of demographic characteristic include gender location interest category network of device of access gnip audience api also allows understanding of any topic any conversation any influencer any event happening twitter gnip is twitter is enterprise api platform that enables business unleash power of social data,12
"other is a leading targeted services advertising agency . they help account are and engage with marketing on any offers device , and provides publishers use targeting to display the platform relevant ads on their integrate . the jumptap api lets content service and retrieve display mobile from the integrate ad network . the api advertising advertisers calls and responses are provides in api . ads applications users ads access provides developers manage applications functionality data access account functionality documentation are users mobile offers services manage their are api users ads mobile advertisers",Advertising,other is leading targeted service advertising agency they help account are engage with marketing any offer device provides publisher use targeting display platform relevant ad their integrate jumptap api let content service retrieve display mobile from integrate ad network api advertising advertiser call response are provides api ad application user ad access provides developer manage application functionality data access account functionality documentation are user mobile offer service manage their are api user ad mobile advertiser,0
"Use the Docket Wrench API by the Sunlight Foundation to investigate the rulemaking process of federal agencies. Leveraging text analysis and clustering tools, Docket Wrench uses metadata from documents, agencies, and dockets to track public comments and entities and reveal their influence across documents. The API uses HTTP GET methods and JSON, and requires an API Key. Use Docket Wrench to: search for a specific agency or entity, find entity-document overlap, or search federal and non-federal documents.",Government,use docket wrench api by sunlight foundation investigate rulemaking process of federal agency leveraging text analysis clustering tool docket wrench us metadata from document agency docket track public comment entity reveal their influence across document api us http get method json requires api key use docket wrench search for specific agency entity find entity document overlap search federal non federal document,4
"The OCBC Secured Overdraft API provides an updated list of OCBC Secured Overdraft that pledge assets to the bank as security. It allows access to Get loan details such as description and interest rates and more. The Secured Overdraft API refines search criteria that filters the products to fetch only the desired results that are tailored to the benefits that your users are looking for. The API is retrieve OCBC bank data that enables integration into your applications. The Oversea-Chinese Banking Corporation Limited (OCBC), addresses the diversity across cultures and geographies to develop technologies that improve the user experience.",Financial,ocbc secured overdraft api provides updated list of ocbc secured overdraft that pledge asset bank a security it allows access get loan detail such a description interest rate more secured overdraft api refines search criterion that filter product fetch only desired result that are tailored benefit that your user are looking for api is retrieve ocbc bank data that enables integration into your application oversea chinese banking corporation limited ocbc address diversity across culture geography develop technology that improve user experience,3
"the sportradar developers images api allows developers to applications api applications with the sportradar live sportradar database , using restful methods . sportradar is a team of sports and allows live access , odds solutions and fraud provides more . sports api json results that database statistics methods sports xml database sports xml can data json their their responses that odds database access responses methods access statistics feeds information odds live results applications team",Sports,sportradar developer image api allows developer application api application with sportradar live sportradar database using restful method sportradar is team of sport allows live access odds solution fraud provides more sport api json result that database statistic method sport xml database sport xml can data json their their response that odds database access response method access statistic feed information odds live result application team,13
"The service provides records of plant anatomy, structure, and phenotype. It aims to compile validated profiles of agricultural crops, including inter-relationships, visible traits, and measurements. It defines concepts for defining agronomic databases and the records they contain. Accurate descriptions and mapping of agronomic phenotypes supports comparative research into phenotypes and genotypes and experiments in gene-discovery. API methods support both keyword search across the database and more focused retrieval of ontologies defined by the service and their component categories. Methods provide access to root terms within an ontology and parent/child structural relationships among terms. Methods also support creating new ontologies within the database and deletion of existing ones.",Science,service provides record of plant anatomy structure phenotype it aim compile validated profile of agricultural crop including inter relationship visible trait measurement it defines concept for defining agronomic database record they contain accurate description mapping of agronomic phenotype support comparative research into phenotype genotype experiment gene discovery api method support both keyword search across database more focused retrieval of ontology defined by service their component category method provide access root term within ontology parent child structural relationship among term method also support creating new ontology within database deletion of existing one,9
"3taps searches realtime for postings of items offered for exchange, such as a job offer or a watch for sale. Searches across Twitter, Craigslist and other sites. The API provides a search functionality, as well as a way to add data directly to 3taps. There are also utility APIs, such as a geocoder that calculate the location to use for a posting based on location-specific details within the posting.",Search,tap search realtime for posting of item offered for exchange such a job offer watch for sale search across twitter craigslist other site api provides search functionality a well a way add data directly tap there are also utility apis such a geocoder that calculate location use for posting based location specific detail within posting,10
"The CLEARpath website is provided by the Chicago Police Department to help community members learn more about their districts and local events as well as how to protect themselves against crime. It also allows people to report crimes anonymously, get reports, and chat with the department. The CLEARpath REST API provides programmatic access to the website's functions and information in JSON format.",Government,clearpath website is provided by chicago police department help community member learn more about their district local event a well a how protect themselves against crime it also allows people report crime anonymously get report chat with department clearpath rest api provides programmatic access website function information json format,4
"Clevertim is a customer relationship management system (CRM) for small businesses. Clevertim allows users to manage their customer contact information and track history of customers. The Clevertim API allows developers to access and integrate the functionality of Clevertim with other applications. Some example API methods include managing contacts, retrieving reminders and opportunities, and managing notes.",Enterprise,clevertim is customer relationship management system crm for small business clevertim allows user manage their customer contact information track history of customer clevertim api allows developer access integrate functionality of clevertim with other application some example api method include managing contact retrieving reminder opportunity managing note,2
"Gemalto offers digital security services. The company focus on personal mobile services, identity protection, payment security, authenticated online services, cloud computing access, modern transportation, M2M communication, eHealthcare, and eGovernment services. A number of API options exist to select from the website. These APIs relate to secure Pin entry, card reading synchronicity, and GemCore chipset. Particularly, the GemCore could be useful to integrate user authentication, logical access control, home banking, e-commerce, and health care.",Security,gemalto offer digital security service company focus personal mobile service identity protection payment security authenticated online service cloud computing access modern transportation mm communication ehealthcare egovernment service number of api option exist select from website these apis relate secure pin entry card reading synchronicity gemcore chipset particularly gemcore could be useful integrate user authentication logical access control home banking commerce health care,11
"DirectTrack is an affiliate marketing and affiliate software tracking platformpowering the largest and most reputable affiliate networks and in-house affiliate programs. The API gives developers an interface to the platform. Functionality includes lookup and retrieval of creative types, campaign info, leads, statistics and more. The API uses SOAP protocol and responses are formatted in XML.",Advertising,directtrack is affiliate marketing affiliate software tracking platformpowering largest most reputable affiliate network house affiliate program api give developer interface platform functionality includes lookup retrieval of creative type campaign info lead statistic more api us soap protocol response are formatted xml,0
"The Danish Register of Underground Cable Owners (LER) is an organization tasked with preventing accidental damage to underground utility cables. To this end, they maintain a registry of all utility cable owners in a given area. Any companies or individuals planning to dig are legally obliged to submit information requests to the LER. In return, they receive a receipt showing the digging area and listing utility owners with cables in the area. The LER API allows users to submit requests and retrieve information receipts programmatically. The LER website is provided entirely in Danish, except for one informational page that is given in English.",Reference,danish register of underground cable owner ler is organization tasked with preventing accidental damage underground utility cable this end they maintain registry of all utility cable owner given area any company individual planning dig are legally obliged submit information request ler return they receive receipt showing digging area listing utility owner with cable area ler api allows user submit request retrieve information receipt programmatically ler website is provided entirely danish except for one informational page that is given english,8
"HoundSleuth is a cloud-based search engine. Users can index documents and search for other documents in real-time. The HoundSleuth API allows developers to access and integrate the functionality of HoundSleuth into other applications, websites, and to create new applications. Some example API methods include indexing documents, managing documents, search management, and scoring documents.",Search,houndsleuth is cloud based search engine user can index document search for other document real time houndsleuth api allows developer access integrate functionality of houndsleuth into other application website create new application some example api method include indexing document managing document search management scoring document,10
"The Duplicated Genes Database (DGD) provides a list of co-located and duplicated genes. These genes may be either tandem repeats or members of the same multigene family. Lists of duplicated genes can be used to analyze the expression of genes from microarray profiling experiments, to characterize the genomic content of a specific chromosomal region, or to study the duplication status of a specific gene or group of genes. The SOAP-based DGD API can only use Ensembl gene IDs as input data and does not allow the retrieval of cross-references in the output file.",Science,duplicated gene database dgd provides list of co located duplicated gene these gene may be either tandem repeat member of same multigene family list of duplicated gene can be used analyze expression of gene from microarray profiling experiment characterize genomic content of specific chromosomal region study duplication status of specific gene group of gene soap based dgd api can only use ensembl gene id a input data doe not allow retrieval of cross reference output file,9
"Canadian development and design company Uproot, in conjunction with the City of Toronto, has developed a REST-based API for accessing and retrieving Toronto's budget data. Using this web service, anyone can take advantage of methods that expose the functionality to query a database containing Toronto's operational and capital budget data. Users can slice and dice the data as they pleaseoperational data can be queried by department or expenditure/revenue types, while capital budget data can be looked up holistically or by any one of the 44 wards of Toronto. Additionally, there is a Toronto Wards KML Overlay for Google Maps that can be incorporated into applications or mashups. This API returns data in XML and JSON, and is available to use freely for any means.",Government,canadian development design company uproot conjunction with city of toronto ha developed rest based api for accessing retrieving toronto budget data using this web service anyone can take advantage of method that expose functionality query database containing toronto operational capital budget data user can slice dice data a they pleaseoperational data can be queried by department expenditure revenue type while capital budget data can be looked up holistically by any one of ward of toronto additionally there is toronto ward kml overlay for google map that can be incorporated into application mashups this api return data xml json is available use freely for any mean,4
"The Event Registry API allows developers to access and integrate the functionality of Event Registry with other applications. The API methods include searching for and retrieving news articles as well as world events mentioned in news articles. Users can narrow down the articles or events feed by the topic, language, keywords, article location, time of interest and news source. Event Registry collects and annotates news articles published by over 30,000 news publishers worldwide in real-time.",Search,event registry api allows developer access integrate functionality of event registry with other application api method include searching for retrieving news article a well a world event mentioned news article user can narrow down article event feed by topic language keywords article location time of interest news source event registry collect annotates news article published by over news publisher worldwide real time,10
"The Sunlight Foundation is a non-partisan, non-profit group that uses technology to make the U.S. government more transparent and accountable. Capitol Words is a tool for determining the frequency with which a given word is used in Congressional sessions over time. It provides relative frequency charts as well as the specific contexts in which the word was used. This provides a quick glimpse into what issues Congress is addressing on a daily, weekly, monthly, and yearly basis. The transcripts referenced by Capitol Words come from the website of the Government Printing Office and cover Congressional sessions from 1996 to the present.",Government,sunlight foundation is non partisan non profit group that us technology make government more transparent accountable capitol word is tool for determining frequency with which given word is used congressional session over time it provides relative frequency chart a well a specific context which word wa used this provides quick glimpse into what issue congress is addressing daily weekly monthly yearly basis transcript referenced by capitol word come from website of government printing office cover congressional session from present,4
